sep=;
ID;Instituto;Turno;DataPub;Amostra;Candidatura;Partido;Percentual;MgErro;Link
10;Black & White;1;2021-08-26;1146;Kast;FSC;15.00;2.90;https://ellibero.cl/wp-content/uploads/2021/08/Encuesta-presidenciales-28-agosto-2021-FINAL_1630348913.pdf
10;Black & White;1;2021-08-26;1146;Nulo;NA;13.00;2.90;https://ellibero.cl/wp-content/uploads/2021/08/Encuesta-presidenciales-28-agosto-2021-FINAL_1630348913.pdf
11;Activa;1;2021-08-28;1559;Artes;UPa;0.70;2.50;https://chile.activasite.com/wp-content/uploads/2021/08/Pulso_Ciudadano_AGOSTO_Q2_informe.pdf
11;Activa;1;2021-08-28;1559;Boric;AD;16.40;2.50;https://chile.activasite.com/wp-content/uploads/2021/08/Pulso_Ciudadano_AGOSTO_Q2_informe.pdf
11;Activa;1;2021-08-28;1559;MEO;PRO;3.60;2.50;https://chile.activasite.com/wp-content/uploads/2021/08/Pulso_Ciudadano_AGOSTO_Q2_informe.pdf
11;Activa;1;2021-08-28;1559;Provoste;NPS;11.30;2.50;https://chile.activasite.com/wp-content/uploads/2021/08/Pulso_Ciudadano_AGOSTO_Q2_informe.pdf
11;Activa;1;2021-08-28;1559;Parisi;PDG;6.10;2.50;https://chile.activasite.com/wp-content/uploads/2021/08/Pulso_Ciudadano_AGOSTO_Q2_informe.pdf
11;Activa;1;2021-08-28;1559;Sichel;ChP;11.50;2.50;https://chile.activasite.com/wp-content/uploads/2021/08/Pulso_Ciudadano_AGOSTO_Q2_informe.pdf
11;Activa;1;2021-08-28;1559;Kast;FSC;6.30;2.50;https://chile.activasite.com/wp-content/uploads/2021/08/Pulso_Ciudadano_AGOSTO_Q2_informe.pdf
11;Activa;1;2021-08-28;1559;Nulo;NA;44.10;2.50;https://chile.activasite.com/wp-content/uploads/2021/08/Pulso_Ciudadano_AGOSTO_Q2_informe.pdf
12;T Influyes;1;2021-09-07;1619;Artes;UPa;1.50;2.40;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_AGOSTO_2021.pdf
12;T Influyes;1;2021-09-07;1619;Boric;AD;26.10;2.40;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_AGOSTO_2021.pdf
12;T Influyes;1;2021-09-07;1619;MEO;PRO;2.10;2.40;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_AGOSTO_2021.pdf
12;T Influyes;1;2021-09-07;1619;Provoste;NPS;11.10;2.40;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_AGOSTO_2021.pdf
12;T Influyes;1;2021-09-07;1619;Parisi;PDG;5.10;2.40;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_AGOSTO_2021.pdf
12;T Influyes;1;2021-09-07;1619;Sichel;ChP;17.10;2.40;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_AGOSTO_2021.pdf
12;T Influyes;1;2021-09-07;1619;Kast;FSC;10.10;2.40;https://www.tuinfluyes.com/assets/estudios/ESTUDIO_TUINFLUYES_AGOSTO_2021.pdf
